capability_id,capability_name,level,rewritten_criteria
760,Production Support,3,"The organization consistently oversees system performance and receives alerts as necessary. They also persistently manage and update configurations to maintain compliance and mitigate risks. A configuration platform has been established to automate, supervise, design, and administer configuration processes."
760,Production Support,4,The organization allocates resources and capacity for proactive maintenance and cleanliness tasks. Enhancements in configuration have elevated the overall security stance of the organization through vital activities.
760,Production Support,5,The organization uses robotic process automation to interact with various automation methods. It identifies and prevents malicious attacks in real-time through the application of Runtime Application Self-Protection (RASP) techniques.
760,Production Support,1,"Application owners serve as the primary support for their respective applications. Regular production issues disrupt the introduction of new features. The creation of support documentation is a joint responsibility of both application owners and the development team. Furthermore, application owners and developers are also involved in supporting the deployed application."
760,Production Support,2,"The production control or schedulers serve as the primary support, with the application owners being the next level for escalation. There is a centralized documentation system available for support resources that contains all necessary information. Additionally, non-technical support roles are in place."
760,Production Support,3,"Processes are clearly defined and a DevOps culture is established, enabling automatic capture of support events. Scripts are developed for event remediation. Documentation of Runbooks, architecture diagrams, and scripts is available and easily accessible. Multiple well-defined support tiers are in place."
760,Production Support,4,"The design of the application incorporates resilience. The effectiveness of production support is quantified. This support is an integral part of the Software Development Life Cycle (SDLC) process. Reports are accessible and feedback is incorporated into the process. Furthermore, support is a crucial component of the enterprise-wide SDLC."
760,Production Support,5,"The use of automation and integrated Site Reliability Engineering (SRE) allows for spontaneous testing of application resilience in a live production environment, ensuring its reliability (for example, via tools like Chaos Monkey). Support is seamlessly incorporated into the design lifecycle of all applications and workloads. Innovation and thought leadership are highly encouraged in the field of production testing and support."
761,Test & Certify,1,The organization sets up a dedicated cybersecurity team tasked with examining and verifying applications and services. This process involves an in-depth analysis of all pertinent documents. A comprehensive review of these documents is also carried out.
761,Test & Certify,2,"Cybersecurity conducts regular evaluations of applications and services, focusing on ensuring compliance and minimizing risk. This includes performing an analysis of logs to proactively detect potential issues such as bugs, security threats, or other risks."
761,Test & Certify,3,Cybersecurity is actively involved in extensive testing and certification processes for applications and services. This includes the thorough review and testing of system and software configurations.
761,Test & Certify,4,Cybersecurity employs sophisticated evaluation and testing methods to ensure the safety of applications and services. It conducts file integrity checks and monitoring (FIM) to confirm the authenticity of operating system and application software files. This is achieved by comparing the current state of the file with a previously established and verified baseline.
761,Test & Certify,5,Cybersecurity consistently evaluates the status and development level of applications and services as part of an ongoing improvement program. A thorough security review and audit of the application portfolio have been conducted.
762,Cryptographic Services,1,Cybersecurity introduces a department responsible for delivering cryptographic services across the business. The strategy for this is both defined and documented in a draft format.
762,Cryptographic Services,2,"Criterion: Cryptographic services are enhanced by cybersecurity, facilitating broad access and distribution of encryption keys. The final strategy is defined and documented through established processes and procedures."
762,Cryptographic Services,3,"Cybersecurity ensures thorough management of cryptographic services throughout their lifecycle, including those offered as a service. A Hardware Security Module (HSM) has been put into operation to safeguard cryptographic keys."
762,Cryptographic Services,4,"Cybersecurity minimizes the potential threats linked with cryptographic services through essential monitoring, auditing, and cost-effectiveness analysis. The performance and success are measured by Key Performance Indicators (KPIs) and metrics, which continuously oversee the lifecycle management of cryptographic services."
762,Cryptographic Services,5,"Cybersecurity offers adaptable solutions for the implementation and use of cryptographic services. The strategy for using these services involves conducting demand and capacity planning to offer flexible, consumption-based plans for a range of cryptographic services."
763,Data Governance,5,The organization creates and provides options for data governance as a service. It also establishes and communicates plans for the utilization of these Data Governance Services.
763,Data Governance,1,"The organization sets up a data governance program along with a related strategy, aimed at assigning value-based significance to data, managing potential risks, and maintaining adherence to regulatory standards. A comprehensive data governance strategy is established."
763,Data Governance,2,"Data governance sets up company-wide standards, crucial processes, and procedures to oversee and manage the program. These are known as Data Governance Standards."
763,Data Governance,3,Centralized Data Governance aids in managing and distributing information throughout the business.
763,Data Governance,4,"The organization sets and controls results in line with clearly established Key Performance Indicators (KPIs), utilizing automation methods to handle risk. The organization also ensures thorough responsibility through both internal and external auditing processes. Additionally, E-discovery is conducted to uncover potential evidence in email, business communications, and other data that may be relevant in legal or criminal cases."
764,Data Management,1,"The organization formulates and documents a data management strategy, focusing on the availability of data. This includes aspects such as data replication, backup, and retention. The strategy is complemented by a corresponding data architecture."
764,Data Management,2,"The organization sets up an operational base for managing data, using a mix of manual, scripted, and automated methods. This base uses teamwork across different departments to tackle essential joint IT operations scenarios. The process and procedure are defined and documented as the final strategy."
764,Data Management,3,The organization utilizes automated duplication and data backup to maintain consistent business operations. The foundational principles for version control have been set in place.
764,Data Management,4,"The organization utilizes sophisticated methods for generating {test} data, which aids in conducting advanced testing and certification services. It adheres to the guiding principles for data isolation and segregation."
764,Data Management,5,"The organization is responsible for creating and updating data catalogs, which are crucial for enhancing governance and business productivity. These catalogs are guided by clearly defined and managed principles."
765,Data Protection,1,"The organization has developed and implemented a data protection strategy and related architecture, prioritizing the security of sensitive data without infringing on consumer privacy or risking critical intellectual property. Essential data encryption is utilized both at rest and during transit. The organization also maintains logs of events and activities for auditing and monitoring. The strategy is well-defined, documented, and in the draft stage."
765,Data Protection,2,"The organization sets up regular governance for safeguarding data. This governance, along with the resulting regulatory compliance, relies on preventing data loss and implementing necessary access controls. The final strategy is defined and documented through specific processes and procedures."
765,Data Protection,3,The organization implements data protection measures across the entire enterprise and enhances these capabilities at its periphery. Robust encryption is effectively utilized.
765,Data Protection,4,"The organization thoroughly comprehends the patterns and baselines of user behavior. In response to conditions that exceed set limits or are exceptional, the organization implements suitable counteractions. A Key Escrow system is in place."
765,Data Protection,5,The organization takes full responsibility for all stages of data protection activities and operations. It sets up detailed plans for data protection usage.
766,Business Continuity,1,The application team performs component and system impact assessments irregularly and inconsistently. The business impact of issues related to the application system and its components is not fully assessed.
766,Business Continuity,2,The application team utilizes a standardized process for assessing business impact and routinely conducts evaluations of both individual components and the entire system. These scheduled assessments allow the team to understand and anticipate the business impact of potential application issues.
766,Business Continuity,3,The organization has established a centralized system for monitoring impact assessments. This system includes application-specific details and allows for assessments to be catalogued uniformly across all applications.
766,Business Continuity,4,"The application team utilizes analytics and AI to derive insights from impact assessments, maintaining an ongoing review process for both business and technical evaluations. The assessment of business and technical impacts is a continuous process."
766,Business Continuity,5,"The application team carries out mock continuity impact scenarios to evaluate the effectiveness of continuity plans, and incorporates the results back into the process. These simulated scenarios are designed to identify potential weaknesses. The continuity impact scenarios could be driven by chaotic events."
766,Business Continuity,1,The organization creates and implements a business continuity strategy and policy. This strategy aims to minimize the impact on business operations during and after an unexpected incident. The strategy is based on technical and business impact assessments. The business continuity strategy is clearly defined and documented.
766,Business Continuity,2,"The business continuity strategy utilizes a layered approach to manage disruptions and risks, closely aligning with the goals and priorities of individual business units. This strategy is endorsed by senior leadership and the board of directors, with a strong focus on adhering to all applicable regulatory requirements. The tiers of business continuity have been effectively implemented, defined, and documented as part of the final business continuity strategy."
766,Business Continuity,3,"The organization maintains its readiness for continuity by utilizing regular drills and thorough feedback mechanisms. Essential connections are made with crucial operations including crisis management, disaster recovery, incident response, and Governance, Risk and Compliance (GRC). Both the process and procedure for business continuity are defined and documented."
766,Business Continuity,4,"The organization creates an all-encompassing continuity plan that includes a mutual responsibility model involving both internal and external parties. The status and outcomes are communicated to relevant stakeholders through dashboards and reports. An audit process is developed for the External Call Tree Matrix, which is a part of the audit process."
766,Business Continuity,5,"Regular and prompt communication with the board of directors is maintained. Moreover, business continuity plans are customized based on geographical and geopolitical factors. There is an established routine for executive and board preparedness reporting."
767,Crisis Management,1,The organization develops and documents a crisis management strategy and policy. This is done to enhance the business's readiness to effectively respond to any crisis situation.
767,Crisis Management,2,"The organization forms a multidisciplinary team with clearly outlined roles and responsibilities for identifying and managing crises. This team ensures that the process and procedures for crisis management are defined, documented, and finalized as part of the overall crisis management strategy."
767,Crisis Management,3,"The organization formulates and applies a thorough standard operating procedure, supported by extensively documented playbooks and runbooks. These tools are used to conduct audits, reviews, and ongoing enhancements of strategies and methods. Benchmarks are set and utilized to inform both preventative and responsive actions. Defined, documented, and executed crisis management exercises are also part of the process."
767,Crisis Management,4,"The organization develops a holistic crisis management strategy that includes a shared responsibility model involving both internal and external parties. This strategy is enhanced by utilizing advanced information sharing and collaboration with experts in the field, which are incorporated into regular operations. A distinct crisis management process is established for cyber or physical security events, but only when necessary."
768,Cybersecurity Strategy,1,"The organization is assembling a team to research, identify, and establish a thorough cybersecurity strategy. They acknowledge the risks and threats posed to their existing and prospective IT infrastructures. A clearly defined and documented Information Security Charter is in place."
768,Cybersecurity Strategy,2,The organization creates a thorough strategy that is approved by both the executive leadership and the board of directors. Essential non-functional requirements are clearly outlined. Key Performance Indicators (KPIs) and other metrics are established to assess the strategy's effectiveness. The board of directors and executive leadership's vision and strategy approval are clearly defined and documented in a Security Master Plan.
768,Cybersecurity Strategy,3,"The organization sets up a thorough strategy governance system, which includes a shared responsibility model involving both internal and third-party participants. This system uses dashboards and reports to share updates and outcomes with relevant stakeholders. The strategy covers a hybrid or multi-cloud IT environment, including Infrastructure as a Service (IaaS), Platform as a Service (PaaS), and Software as a Service (SaaS). There is a particular focus on maintaining continuous compliance. A well-defined and documented risk management framework is also in place."
768,Cybersecurity Strategy,4,"The organization recognizes the necessary changes in its structure and design to maintain business and operational continuity, as well as to foster sustained innovation for digital goals. The process of continuous improvement utilizes feedback loops and AI/ML to enhance efficiency and resilience. Initial implementation of SOAR has been successfully completed."
768,Cybersecurity Strategy,5,"The organization utilizes a range of software solutions and methods to enhance cybersecurity, focusing on three main areas: threat and vulnerability management, incident response, and security operations automation. It has a fully automated system in place for monitoring compliance strategies and has successfully implemented Security Orchestration, Automation, and Response (SOAR)."
769,Human Resources,1,"The organization formulates a cybersecurity strategy and policy, which aids in human resources and personnel management. This strategy is clearly defined and documented in a draft format."
769,Human Resources,2,"The organization outlines detailed roles and responsibilities to enhance human resource support. Furthermore, cybersecurity introduces essential services and tools to improve the risk management elements within the HR lifecycle management, including background checks, termination procedures, disciplinary actions, and countermeasures. The final strategy is defined and documented through specific processes and procedures."
769,Human Resources,3,"The organization implements automated methods to enhance Human Resources lifecycle management. Additionally, cybersecurity measures are employed to improve monitoring capabilities, focusing on both employees and contractors. A clearly defined and documented policy is in place for testing suspicious employee emails, along with specified requirements."
769,Human Resources,4,"The organization implements educational programs to enhance workforce awareness and training. Moreover, cybersecurity utilizes sophisticated methods to supervise individuals and scenarios with high risk, including accounts with elevated privileges. A cybersecurity culture is established and maintained."
770,Information Security Management,1,"The organization sets up an information security program to safeguard crucial business operations, data, and IT resources. It recognizes the individuals, procedures, and technology that could potentially affect the security, confidentiality, and integrity of the organization's assets. This criterion also includes daily management activities."
770,Information Security Management,2,The organization operates its information security program efficiently on a daily basis. It utilizes a thorough policy and control system to minimize risk and maintain consistent adherence to regulatory standards. This involves daily management practices.
770,Information Security Management,3,"The entire enterprise is covered by the information security program, which also tackles the hybrid IT ecosystem. This includes daily management operations."
770,Information Security Management,4,"As a business consultant, I'm unable to provide a revised version of the criterion since there's no original criterion provided in your request. Please provide the original criterion that needs to be rewritten for clarity and readability."
770,Information Security Management,5,The organization utilizes comprehensive orchestration along with Artificial Intelligence/Machine Learning to enhance efficiency and ensure adherence to policies. This involves effective policy management.
771,Integrated IT/OT Security,1,"The organization has implemented cybersecurity measures for both Information Technology (IT) and Operational Technology (OT), following set guidelines and policies. A well-defined strategy is in place and has been documented in a preliminary format."
771,Integrated IT/OT Security,2,"The organization has established a collaborative approach between Operational Technology (OT) and Information Technology (IT) security programs. The final strategy is clearly defined, documented, and guided by set processes and procedures."
771,Integrated IT/OT Security,3,The organization has established a unified security protocol. The documented effects of physical safety on Operational Technology (OT) and Information Technology (IT) risks are individually recorded in the risk register (GRC).
771,Integrated IT/OT Security,4,"The organization possesses a functional, quantifiable, and integrated security protocol. Both OT and IT risks are consolidated and managed through common SOC and threat management, and are recorded on the risk register (GRC)."
771,Integrated IT/OT Security,5,"The organization consistently enhances its integrated security practices. It also maintains a regular review and adherence cycle for its policies, ensuring continuous compliance."
772,Legal & Forensics,1,"The organization sets up the groundwork for legal and forensic services. The primary service supported by LEGAL Security includes the assessment of contractual agreements, focusing on crucial provisions among other things."
772,Legal & Forensics,2,"The organization carries out crucial tasks like forensics, electronic discovery, and internal probes. Legal assistance is provided in conducting these internal investigations."
772,Legal & Forensics,3,"The organization incorporates collaboration across different functions and forensic investigations into key business operations. These operations include, but are not limited to, legal aspects such as the implementation of email journaling."
772,Legal & Forensics,4,The organization forms partnerships with law enforcement and key contacts. They also utilize anti-forensic strategies used by malicious entities. Forensic analysis is conducted in compliance with legal standards.
773,OT Security Strategy,1,Initial Stage: The development of security technology and strategy documents for Operational Technology (OT) is underway. The management is cognizant of the specific risks and impacts that OT security has on the business operations of the organization.
773,OT Security Strategy,2,Managed: The roles and responsibilities of the strategy team members are clearly defined. The most appropriate security framework for the business is selected and adapted.
773,OT Security Strategy,3,The OT strategy has been developed and enhanced based on the knowledge gained from implementing proof-of-concept activities. The strategy's effectiveness and reliability have been confirmed through proof-of-concept or other similar testing activities.
773,OT Security Strategy,4,Quantitatively Managed: The OT strategy is continuously refined and enhanced based on lessons learned from the implementation of proof-of-concept activities. The frequency and effectiveness of OT strategy meetings with the cross-functional steering committee are also taken into account.
773,OT Security Strategy,5,"Optimized: The security framework should be adapted to include zero trust architecture, in-depth defense, and comprehensive threat monitoring. The operational technology strategy should be optimally aligned with the business's risk tolerance, compliance requirements, and profit growth objectives."
774,Privacy,1,"The organization sets up the groundwork for its privacy program, primarily emphasizing policy and guidelines. The strategy is clearly defined and documented in a draft format."
774,Privacy,2,"The organization efficiently operates the privacy program on a daily basis, utilizing a thorough policy and control system to mitigate risks and maintain privacy along with regulatory compliance. Processes and procedures have been clearly defined and documented as part of the final strategy."
774,Privacy,3,"The organization advances through the implementation of verified and documented processes and procedures, designed to support large-scale operations and extensive coverage. Under the guidance of a Chief Privacy Officer, the organization prioritizes internal communication and training to equip its workforce. The role of a Chief Privacy Officer is filled."
774,Privacy,4,"The organization sets up an inclusive privacy strategy, which includes a collaborative responsibility model involving both internal and external parties. This strategy ensures regular updates and results are shared with relevant stakeholders through dashboards and reports. It crucially integrates with data governance and lifecycle management, with an emphasis on enabled preference management."
775,Risk Management,1,"The organization sets up the groundwork for its enterprise risk management operations. The aim is to pinpoint, evaluate, and plan for possible losses, threats, risks, and other harmful potentials that could disrupt the organization's operations and strategic goals. A strategy is outlined and documented in a draft format."
775,Risk Management,2,"The organization manages risk efficiently on a daily basis. It utilizes a detailed policy and control measures to both prevent and lessen risk, employing a mix of forward-thinking and responsive methods. The final strategy is established and recorded through well-defined processes and procedures."
775,Risk Management,3,"Risk management is harmonized with other essential operations throughout the organization, including but not limited to the use of a Governance, Risk, and Compliance (GRC) tool."
775,Risk Management,4,"The organization develops an all-encompassing risk management strategy, which includes a shared responsibility model involving both internal and external parties. This approach is complemented by a system that allows visibility across the hybrid IT ecosystem, helping the organization to tackle ongoing threats and vulnerabilities. The organization also ensures that Governance, Risk, and Compliance (GRC) are fully integrated with risk management activities."
775,Risk Management,2,The organization formulates and documents a comprehensive strategy for managing physical security risks.
775,Risk Management,3,"The organization implements thorough physical security measures for risk management, ensuring consistent adherence to regulatory compliance."
775,Risk Management,1,The organization lays the groundwork for managing physical security risks by defining and documenting a draft strategy for Physical Security Risk Management.
776,Service Management,1,"The organization sets up a basis for its cybersecurity service management operations. The objective is to proficiently design, construct, provide, manage, and regulate the security services listed in the cybersecurity service catalog. The strategy is defined and documented in a draft form."
776,Service Management,2,"Cybersecurity is being managed effectively on a daily basis through the use of a comprehensive cybersecurity service catalog. This management strategy utilizes a mix of proactive and reactive techniques, guided by detailed policies and controls, to prevent and lessen risk. Furthermore, it sets clear expectations for the level of service from internal partners and service clients by balancing critical non-functional requirements and service level agreements."
776,Service Management,3,The organization advances by establishing and documenting processes and procedures that support large-scale operations and extensive coverage. This includes consistent daily management.
776,Service Management,4,"The organization combines service management with financial management strategies to enhance cost efficiency. Furthermore, it utilizes proactive DevSecOps methods to boost the reliability of its services. This is crucial for daily management operations."
777,Authentication,4,The organization employs a blend of overt and covert authenticators in its risk and adaptive-based authentication methods. These techniques are further enhanced by incorporating human-assisted models and machine learning. The organization also enables Multi-Factor Authentication (MFA) based on risk assessment.
777,Authentication,1,The business sets up the basis for verifying identity and managing access rights. It supports various techniques including the formulation and documentation of a draft strategy.
777,Authentication,5,"The organization utilizes advanced authentication methods, including the implementation and support of WebAuthn."
777,Authentication,2,"The organization enhances authentication methods like Single Sign-On (SSO) and Two-Factor Authentication (2FA) based on set policies. It maintains visibility through detailed logging of authentication events. It also implements robust authenticators, which include well-defined and documented processes, procedures, and final strategies."
777,Authentication,3,"The organization uses multi-factor authentication to enhance security and improve user experience. It also provides API protection and authentication, promoting the modernization of applications and services. OAuth 2.0 is enabled."
778,Authorization,1,The business lays the groundwork for permissions and rights. The strategy is outlined and recorded in a draft document.
778,Authorization,2,The organization uses a policy-driven authorization system to regulate access to its resources and services. The process and procedure for this system are clearly defined and documented in the final strategy.
778,Authorization,3,"The organization utilizes immediate data insights to oversee authorization policies. This is further enhanced by the integration of privilege management and risk analysis, allowing the organization to manage risk efficiently. This process is also integrated with Privileged User Management for comprehensive authorization."
778,Authorization,4,The organization utilizes centralized management functions and machine learning to enhance efficiency and scalability. Password vaulting has been implemented.
778,Authorization,5,The authorization system utilizes AI-driven insights to enhance policy and fine-tune the approach of minimum privilege. It is fully integrated with the established minimum privilege framework.
779,Enterprise Directory,1,"The business sets up the groundwork for the enterprise directory, which incorporates essential components like: a clearly defined and documented strategy for the enterprise directory, along with a preliminary draft of this strategy."
779,Enterprise Directory,2,The organization sets up identity provider services for use throughout the company. The processes and procedures are defined and documented in the final Enterprise Directory strategy.
779,Enterprise Directory,3,"The organization utilizes virtual and cloud-based directories to expand its access control strategy to applications and tasks within the hybrid IT ecosystem, encompassing Infrastructure as a Service (IaaS), Platform as a Service (PaaS), and Software as a Service (SaaS). This includes the creation and management of privileged accounts."
779,Enterprise Directory,4,"The organization proficiently oversees the enterprise directory, ensuring support for emergency and break glass scenarios without interrupting business and operational continuity or introducing inherent or residual risk. The organization also conducts Threat Hunting."
780,Identity Federation,1,"The business sets up the groundwork for identity federation and builds trust with external parties. The strategy for federation is clearly defined and documented, with a preliminary draft strategy in place."
780,Identity Federation,2,The organization sets up identity federation services for use throughout the business. The federation strategy is finalized with defined and documented processes and procedures.
780,Identity Federation,3,"The organization facilitates sophisticated federation capabilities, which include but are not limited to Global User Visibility and the activation of Home Realm Discovery."
780,Identity Federation,4,The organization utilizes multi-factor authentication to enhance security and improve user experience. It also facilitates on-demand provisioning and integrates with a comprehensive identity service offering. The organization enables IdP Dynamic Registration (Just in Time).
780,Identity Federation,5,"The organization sets up and maintains a network for identity federation, along with suitable Identity Providers (IdPs) to enhance specific use cases. This includes the implementation of a proxied federation."
781,Identity Lifecycle Management,1,"The business sets up the groundwork for Identity and Access Management (IAM), incorporating key components such as: a defined and documented IAM strategy, and a preliminary draft of the IAM strategy."
781,Identity Lifecycle Management,2,The organization sets up its Identity and Access Management (IAM) lifecycle management services for use throughout the company. This includes integrating with Human Resources data sources and the primary source of workforce identity records. The processes and procedures for IAM are clearly defined and documented in the final IAM strategy.
781,Identity Lifecycle Management,3,"The organization utilizes enhanced IAM (Identity and Access Management) features. These include, but are not limited to, conducting cloud synchronization and integrating with public cloud sources."
781,Identity Lifecycle Management,4,The organization facilitates self-service and administrative delegation in Identity Access Management (IAM). It also integrates with Identity repositories on public cloud platforms.
781,Identity Lifecycle Management,5,The organization utilizes machine learning and artificial intelligence to foster ongoing enhancement. The Information Lifecycle Management (ILM) is implemented through APIs.
782,Privileged Access Management,5,"The organization enables privileges throughout a diverse cloud-based IT environment, incorporating threat and user activity benchmarks to identify and respond to potential harmful actions and incidents. It employs a system of rotating credentials based on threat detection and User and Entity Behavior Analytics (UEBA)."
782,Privileged Access Management,1,"The business sets up the groundwork for managing privileged access. This includes vital components like defining and documenting the strategy for privileged access management, as well as drafting the said strategy."
782,Privileged Access Management,2,"The organization sets up a system for governing privileged access, incorporating crucial elements like defining and documenting processes and procedures, and finalizing a strategy for privileged access management."
782,Privileged Access Management,3,"The organization provides and oversees large-scale privileges by applying essential controls, including the manual submission and management of access requests."
782,Privileged Access Management,4,"The organization utilizes immediate data analysis to control access rights. Furthermore, they enhance this access control management by employing sophisticated methods such as automated discovery of privileged accounts."
783,Container Security,1,"The organization is beginning to investigate the application of containerization, starting with small-scale experimental proofs of concept and targeted employee training. A preliminary strategy for container security has been defined and documented."
783,Container Security,2,The organization utilizes structured pilot programs to fine-tune and confirm the effectiveness of the transformation strategy and its return on investment. The processes and procedures for Container Security's final strategy are clearly defined and documented.
783,Container Security,3,"The organization completes the selection and implementation of tools, setting up a secure container ecosystem. The Container Tool Portfolio is established and put into operation."
783,Container Security,4,The organization enhances its operating model to effectively manage and secure containers on a large scale. It carries out Infrastructure as Code (IaC) scanning under the Build and Deploy process.
783,Container Security,5,The organization uses sophisticated methods to enhance the management and security of containers. Resource management is carried out through orchestration.
784,Device Security,1,The organization lays the groundwork for securing devices by defining and documenting a preliminary Device Security Strategy.
784,Device Security,2,"The organization is responsible for creating and consistently updating a precise and comprehensive record of all corporate assets. The processes and procedures are clearly defined and documented, culminating in the final strategy for device security."
784,Device Security,3,"The organization implements large-scale device security using specific resources and corporate workspaces. These dedicated resources, whether physically or logically separated, are established and maintained for all administrative tasks or tasks that require administrative access. These computing resources should be segregated from the main corporate network and should not have internet access."
784,Device Security,4,"The organization utilizes methods to prevent device compromise and manage compromised devices, with a focus on inventory control."
784,Device Security,5,The organization utilizes behavioral risk analysis and artificial intelligence to enhance the security of its devices. A media lockdown protocol has been established.
785,Network Security,1,"Criterion: The foundation of network security is established through a well-defined and documented strategy, which is currently in draft form."
785,Network Security,2,"The final strategy for network security, along with the process and procedure for its monitoring, has been defined and documented."
785,Network Security,3,Implement a comprehensive network security system with multiple layers of protection.
785,Network Security,4,Revised Criterion: Management of Network Security Tuning in the Management Plane
786,Server/Endpoint Security,1,"The company sets up the groundwork for server and endpoint security, focusing primarily on IT devices. The strategy for server and endpoint security is clearly defined and documented, with a draft strategy in place."
786,Server/Endpoint Security,2,"The organization prioritizes information-based security and protection measures, guided by an extensive classification and labeling system. The strategy for server and endpoint security is clearly defined and documented in the process and procedures."
786,Server/Endpoint Security,3,"The organization establishes a server/endpoint security program, utilizing documented processes and procedures to guide its activities. It diligently maintains an inventory and consistently monitors all endpoints. The program's primary focus is on compliance. This is the foundation of Server/Endpoint Security Practice."
786,Server/Endpoint Security,4,"The organization shifts towards immediate tracking of inventory and assets using automation and integrated systems. A complete set of security policies for endpoint devices is developed and a regular review process is put in place. These policies are specific, measurable, attainable, realistic, and time-bound. There are no lapses in the security policy. The establishment of Behavioral Malware Prevention is also in place."
786,Server/Endpoint Security,5,"The organization has implemented a comprehensive security program for all its endpoints, which is designed and executed to proactively anticipate changes. This program is fully integrated with the IT, Procurement, and Business Risk departments, ensuring established server and endpoint security."
787,Serverless Security,1,"The company sets up the groundwork for serverless security. This includes defining and documenting a serverless security strategy, as well as drafting a serverless security plan."
787,Serverless Security,2,The organization enhances access controls and adjusts configurations to regulate the scope and influence of serverless functions. The serverless security strategy is defined and documented in terms of process and procedure.
787,Serverless Security,3,"The organization carries out activities to reduce risk across the CI/CD pipeline, which includes processes such as Injection, Filtering, and Access."
789,Storage Security,1,"The company sets up the basis for securing storage, focusing primarily on categorizing data and managing access controls. The strategy for storage security is clearly defined and documented, with a preliminary draft of the storage security strategy in place."
789,Storage Security,2,"The organization has established and documented a final strategy for storage security, defining the necessary processes and procedures."
789,Storage Security,3,"The organization utilizes a software-driven strategy to facilitate the management and configuration of resources, specifically in areas of container technology, cloud computing, and resource isolation or segmentation."
789,Storage Security,4,The organization enhances confidence and guarantees through ISCSI ISCSI.
790,Access Control,1,"The organization sets up the groundwork for a strategy that is defined and documented, focusing on physical security access controls."
790,Access Control,2,"The organization formulates a detailed strategy for physical security access controls, ensuring that the process and procedure are well-defined and documented."
790,Access Control,3,"The organization implements extensive physical security measures, including access controls and video analytics."
790,Access Control,4,"The organization has implemented advanced physical security measures, including multi-factor authentication (MFA) using biometric authenticators."
791,Asset Management,1,"The organization sets up the groundwork for managing physical security assets. This includes defining and documenting the strategy for physical security asset management, as well as creating a draft strategy."
791,Asset Management,2,"The organization formulates a complete strategy for managing physical security assets, which includes defining and documenting the process and procedures for final physical security asset management."
791,Asset Management,3,"The organization implements thorough controls for managing physical security assets, including the execution of a Work Order Management system."
791,Asset Management,4,The organization implements sophisticated asset management controls for equipment located off-site to ensure its security.
792,Facility Management,1,The organization sets up the groundwork for managing physical security facilities. A well-defined and documented strategy for facility management is in place.
792,Facility Management,2,The organization formulates a thorough strategy for managing the physical security of the facility. This includes designing and documenting the process and procedures for final facility management strategy.
792,Facility Management,3,"The organization implements a layered security strategy and approach, ensuring comprehensive management controls over physical security facilities."
792,Facility Management,4,"The organization implements advanced controls for managing physical security facilities, including the establishment of a backup water supply."
792,Facility Management,5,The organization utilizes a Sensitive Compartmented Information Facility (SCIF) for the implementation of a Gun Fire Audio Detection system.
793,Physical Security Officer Management,1,The organization sets the groundwork for managing physical security officers by defining and documenting a draft strategy for Physical Security Officer Management.
793,Physical Security Officer Management,2,The organization formulates and documents a comprehensive strategy for managing physical security officers.
793,Physical Security Officer Management,3,The organization implements extensive management controls for physical security officers.
793,Physical Security Officer Management,4,The organization implements sophisticated management controls for physical security officers.
794,Physical Security Policies & Standards,1,The organization sets up the groundwork for policies and standards related to physical security. This includes defining and documenting Emergency Response Standards.
794,Physical Security Policies & Standards,2,"The organization formulates thorough policies and standards for physical security, including a clearly defined and documented parking standard."
794,Physical Security Policies & Standards,3,The organization sets up comprehensive physical security policies and standards at an enterprise level. These include clearly defined and documented patrol and response standards.
794,Physical Security Policies & Standards,4,"The organization implements comprehensive physical security protocols, including clearly defined and documented procedures for handling suspicious devices or potential bomb threats."
795,Utilities,1,The organization sets the groundwork for essential utilities by defining and documenting a preliminary utilities strategy.
795,Utilities,2,"The organization formulates and documents a comprehensive strategy for the critical utilities process and procedure, culminating in a finalized strategy."
795,Utilities,3,The organization implements thorough control measures for water utilities.
796,"Change, Configuration, and Release Mgmt.",1,"The business sets up the groundwork for managing changes, configurations, and releases. Most of these processes are carried out manually. A draft strategy for change, configuration, and release management (CC&RM) has been defined and documented."
